"Abyssal Cry",Клич преисподней
"Word of Blades",Слово клинков
"Edict of Blades",Эдикт клинков
"Decree of Blades",Указ клинков
"Commandment of Blades",Приказ клинков
"Word of Flames",Слово огня
"Edict of Flames",Эдикт огня
"Decree of Flames",Указ огня
"Commandment of Flames",Приказ огня
"Word of Force",Слово силы
"Edict of Force",Эдикт силы
"Decree of Force",Указ силы
"Commandment of Force",Приказ силы
"Word of Frost",Слово холода
"Edict of Frost",Эдикт холода
"Decree of Frost",Указ холода
"Commandment of Frost",Приказ холода
"Word of Fury",Слово ярости
"Edict of Fury",Эдикт ярости
"Decree of Fury",Указ ярости
"Commandment of Fury",Приказ ярости
"Word of Inferno",Слово ада
"Edict of Inferno",Эдикт ада
"Decree of Inferno",Указ ада
"Commandment of Inferno",Приказ ада
"Word of Ire",Слово гнева
"Edict of Ire",Эдикт гнева
"Decree of Ire",Указ гнева
"Commandment of Ire",Приказ гнева
"Word of Light",Слово света
"Edict of Light",Эдикт света
"Decree of Light",Указ света
"Commandment of Light",Приказ света
"Word of Reflection",Слово отражения
"Edict of Reflection",Эдикт отражения
"Decree of Reflection",Указ отражения
"Commandment of Reflection",Приказ отражения
"Word of Spite",Слово злобы
"Edict of Spite",Эдикт злобы
"Decree of Spite",Указ злобы
"Commandment of Spite",Приказ злобы
"Word of the Tempest",Слово бури
"Edict of the Tempest",Эдикт бури
"Decree of the Tempest",Указ бури
"Commandment of the Tempest",Приказ бури
"Word of the Grave",Слово смерти
"Edict of the Grave",Эдикт смерти
"Decree of the Grave",Указ смерти
"Commandment of the Grave",Приказ смерти
"Word of Thunder",Слово грома
"Edict of Thunder",Эдикт грома
"Decree of Thunder",Указ грома
"Commandment of Thunder",Приказ грома
"Word of War",Слово войны
"Edict of War",Эдикт войны
"Decree of War",Указ войны
"Commandment of War",Приказ войны
"Word of Winter",Слово зимы
"Edict of Winter",Эдикт зимы
"Decree of Winter",Указ зимы
"Default Attack",Атака
Mortar,Метание
"Abberath's Fury",Ярость Абберата
"Aspect of the Avian",Дух птицы
"Aspect of the Cat",Дух кошки
"Aspect of the Crab",Дух краба
"Aspect of the Spider",Дух паука
"Bone Nova",Кольцо костей
"Cold Aegis",Ледяная эгида
Consecrate,Освящени
"Create Lesser Shrine",Создание малого алтаря
"Death Walk",Шаг смерти
"Doryani's Touch",Касание Дориани
"Elemental Aegis",Стихийная эгида
"Elemental Warding",Стихийная защита
"Fire Aegis",Огненная эгида
"Fire Burst",Огненный взрыв
Icestorm,Ледяной шторм
"Icicle Burst",Взрыв сосулек
"Illusory Warp",Ледяной переход
"Lightning Aegis",Эгида молний
"Lightning Bolt",Удар грома
"Manifest Dancing Dervish",Проявление Танцующих дервишей
"Molten Burst","Взрыв лавы"
"Raise Spiders",Призыв пауков
"Shade Form",Форма тени
"Shock Ground",Заряженная земля
"Spirit Burst",Взрыв душ
"Storm Cascade",Грозовой каскад
"Summon Bestial Rhoa",Призыв дикого роа
"Summon Bestial Snake",Призыв дикой змеи
"Summon Bestial Ursa",Призыв дикого медведя
"Spectral Spirits","Призрачные духи"
"Summon Harbinger of the Arcane",Призыв Предвестника колдовства
"Summon Harbinger of Brutality",Призыв Предвестника жестокости
"Summon Harbinger of Directions",Призыв Великого Предвестника направлений
"Summon Harbinger of Focus",Призыв Предвестника концентрации
"Summon Harbinger of Storms",Призыв Предвестника бурь
"Summon Harbinger of Time",Призыв Предвестника времени
"Summon Spectral Wolf",Призыв призрачного волка
"Tentacle Whip",Удар щупальцами
"Bone Mortar",Костяная мортира
Plague,Чума
"Rune Blast",Рунический взрыв
"Feast of Flesh",Пир плоти
"Call of Steel",Зов стали
Combust,Сожжение
Brandsurge,Перегрузка клейм
"Embrace Madness",Объятия безумия
"Fog of War",Туман войны
"Stalking Pustule",Преследующая пустула
"Tawhoa's Chosen",Избранник Тахоа
"Physical Aegis",Физическая эгида
"Corpse Walk",Трупный шаг
"Death Wish",Смертельное желание
"Animate Guardian's Weapon",Оружие Аниматрона
Reflection,Отражение
"Unseen Strike",Скрытный удар
"Summon Greater Harbinger of the Arcane",Призыв Великого Предвестника колдовства
"Summon Greater Harbinger of Brutality",Призыв Великого Предвестника жестокости
"Summon Greater Harbinger of Directions",Призыв Великого Великого Предвестника направлений
"Summon Greater Harbinger of Focus",Призыв Великого Предвестника концентрации
"Summon Greater Harbinger of Storms",Призыв Великого Предвестника бурь
